By Category (ADS-SPO),(Sin categoría),,,
By Category (ADS-SPO),0 - CONTENIDO DE ESTA BD,Plantilles documents,,
By Category (ADS-SPO),00 - Procediments generals,Procediments,,
By Category (ADS-SPO),Acces a instal·lacions,Accés a instal·lacions,,
By Category (ADS-SPO),Active Directory,Active Directory,,
By Category (ADS-SPO),Adquira,,obsolet,
By Category (ADS-SPO),ADS General,ADS,.,
By Category (ADS-SPO),AIX,AIX,.,
By Category (ADS-SPO),Antivirus,Antivirus,.,
By Category (ADS-SPO),Apache,Apache,.,
By Category (ADS-SPO),Aplicacio Fama,Fama,.,
By Category (ADS-SPO),Assessor altes (notes),,obsolet,
By Category (ADS-SPO),Assistencia en Vacances,,obsolet,
By Category (ADS-SPO),Assistencia General,,obsolet,
By Category (ADS-SPO),Atenció Immediata,Atenció Usuaris,.,
By Category (ADS-SPO),Atenea 1x1,Atenea 1x1,.,
By Category (ADS-SPO),Atenea Externs,Atenea Externs,.,
By Category (ADS-SPO),Atenea Labs,Atenea Labs,.,
By Category (ADS-SPO),Atenea,Atenea,.,
By Category (ADS-SPO),ATIC - Contact Center HERMES,ATIC - Contact Center HERMES,.,Eva 
By Category (ADS-SPO),Aturada CPD,Aturada CPD,.,
By Category (ADS-SPO),Avaries i consultes,Avaries i consultes,.,
By Category (ADS-SPO),AWS Amazon,AWS Amazon,.,
By Category (ADS-SPO),Backups,Backups,.,
By Category (ADS-SPO),Balancejadors F5 - UPC,Balancejadors F5 - UPC,.,
By Category (ADS-SPO),Better Performance,Better Performance,.,
By Category (ADS-SPO),Bingo UPCnet,Bingo UPCnet,.,
By Category (ADS-SPO),Blackberry,Blackberry,.,
By Category (ADS-SPO),Campus Digital,Campus Digital,.,
By Category (ADS-SPO),CAS,CAS - Central authentication service,.,
By Category (ADS-SPO),Ccewin-Ccesun,Ccewin-Ccesun,.,
By Category (ADS-SPO),Cercadors,Certificats,.,
By Category (ADS-SPO),Certificados SSL,Certificats,.,
By Category (ADS-SPO),CLOUD Privat UPC,Cloud privat upc,.,
By Category (ADS-SPO),Cluster DN,Cluster DN,.,
By Category (ADS-SPO),Consoles,Consoles,.,
By Category (ADS-SPO),Contingencia de CMDB Intranet Kbtic Keepass i Directori UPC,Contingencia de CMDB Intranet Kbtic Keepass i Directori UPC,.,
By Category (ADS-SPO),Correo electrónico - Majordomo,,obsolet,
By Category (ADS-SPO),Correo electrónico - PL,Correu Electrònic - PL,.,
By Category (ADS-SPO),Correo electrónico - Relay CSPT,Correu Electrònic - Relay CSPT,.,
By Category (ADS-SPO),Correo electrónico - Relay,Correu Electrònic - Relays,.,
By Category (ADS-SPO),Correo electrónico - Sympa,Correu Electrònic - Sympa,.,
By Category (ADS-SPO),Correo,Correu Electrònic,.,
By Category (ADS-SPO),Correu Electrònic - Domino,Correu Electrònic - Domino,.,
By Category (ADS-SPO),Correu Electrònic - Google,Correu Electrònic,.,
By Category (ADS-SPO),CPD,CPD,.,
By Category (ADS-SPO),Denyhosts,ADS,.,
By Category (ADS-SPO),DNS,DNS,.,
By Category (ADS-SPO),Doc6,,obsolet,
By Category (ADS-SPO),Documentació,,només esborrar categoria,
By Category (ADS-SPO),Documentación,,només esborrar categoria,
By Category (ADS-SPO),Dominios Windows,,obsolet,
By Category (ADS-SPO),Domino,Lotus Domino Notes,.,
By Category (ADS-SPO),Drac,Drac,.,
By Category (ADS-SPO),E-ADMINISTRACIO,E-ADMINISTRACIO,.,
By Category (ADS-SPO),e-Connect CTM,e-Connect CTM,.,
By Category (ADS-SPO),e-Connect Govern Andorra,e-Connect Govern Andorra,.,
By Category (ADS-SPO),e-Connect OSIFE,e-Connect OSIFE,.,
By Category (ADS-SPO),e-Connect SIPCAT.EDU,e-Connect SIPCAT.EDU,.,
By Category (ADS-SPO),e-Connect TDA,e-Connect TDA,.,
By Category (ADS-SPO),e-Connect Tecnocampus Mataró-Maresme,e-Connect Tecnocampus Mataró-Maresme,.,
By Category (ADS-SPO),e-Connect UOC,e-Connect UOC,.,
By Category (ADS-SPO),e-Connect UPF,e-Connect UPF,.,
By Category (ADS-SPO),e-Desk Conferències web,e-Desk Conferències web,.,
By Category (ADS-SPO),E-SECRETARIA,E-SECRETARIA,.,
By Category (ADS-SPO),EDUROAM (WEB),EDUROAM (WEB),.,
By Category (ADS-SPO),Eines Gestió Xarxes,Eines Gestió Xarxes,.,
By Category (ADS-SPO),EMC,EMC,.,
By Category (ADS-SPO),EN CONSTRUCCIO,,"eliminar, ja no hi ha documents",
By Category (ADS-SPO),Express 5800,Express 5800,.,
By Category (ADS-SPO),Fama,Fama,.,
By Category (ADS-SPO),FDA,FDA,.,
By Category (ADS-SPO),Firewalls,Firewalls,.,
By Category (ADS-SPO),FRIDA,,obsolet,
By Category (ADS-SPO),FTP,FTP,.,
By Category (ADS-SPO),gCon,gCON,.,
By Category (ADS-SPO),Gemalto,GI - Gestió de la Identitat,.,
By Category (ADS-SPO),GENWEB UPC,GenWeb,.,
By Category (ADS-SPO),Genweb,GenWeb,.,
By Category (ADS-SPO),GesConsultor,Seguretat,.,
By Category (ADS-SPO),GESPROTOCOL,GESPROTOCOL,.,
By Category (ADS-SPO),Gestor d'ample de banda,Gestor d'ample de banda,.,
By Category (ADS-SPO),GestorServeis,Gestor de serveis,.,
By Category (ADS-SPO),GET - Gestió d'Estacions de Treball,GET - Gestió d'Estacions de Treball,.,
By Category (ADS-SPO),Google Appliance,Google Apps,.,
By Category (ADS-SPO),Google Apps,Google Apps,.,
By Category (ADS-SPO),GTPAE,,obsolet,
By Category (ADS-SPO),Hosting ftp,,obsolet,
By Category (ADS-SPO),Hosting web,Hosting Web,.,
By Category (ADS-SPO),Housing,Housing,.,
By Category (ADS-SPO),HOW-TO,HOW-TO,.,
By Category (ADS-SPO),HR-ACCES,HR-Access,.,
By Category (ADS-SPO),HTTP,Apache,.,
By Category (ADS-SPO),IdP UPC,IdP UPC,.,
By Category (ADS-SPO),IIEDG,,obsolet,
By Category (ADS-SPO),IIS,IIS,.,
By Category (ADS-SPO),IMAP,,"eliminar, ja no hi ha documents",
By Category (ADS-SPO),Incidentes Lotus,Incidentes Lotus,.,
By Category (ADS-SPO),Incidents Trendmicro,,"eliminar, ja no hi ha documents",
By Category (ADS-SPO),Indicadors C.Marc,,"eliminar, ja no hi ha documents",
By Category (ADS-SPO),Indicadors,Indicadors,.,
By Category (ADS-SPO),Informació,Informació general,,
By Category (ADS-SPO),IRT,IRT,.,
By Category (ADS-SPO),Itanium,,"eliminar, ja no hi ha documents",
By Category (ADS-SPO),Jabber,Jabber,.,
By Category (ADS-SPO),LDAP,LDAP,.,
By Category (ADS-SPO),Licencias Flotantes,Distribució de Software,.,
By Category (ADS-SPO),LINENGINE,,obsolet,
By Category (ADS-SPO),Linux,Linux,.,
By Category (ADS-SPO),Lotus Domino,Lotus Domino Notes,.,
By Category (ADS-SPO),LSC,LSC,.,
By Category (ADS-SPO),Manteniment,Manteniment,.,
By Category (ADS-SPO),Manual SAI Evolution 2200,,obsolet,
By Category (ADS-SPO),Manuals,,només esborrar categoria,
By Category (ADS-SPO),MAX,MAX,.,
By Category (ADS-SPO),Monitoritzacio Liceu,,obsolet,
By Category (ADS-SPO),Monitoritzacio,Monitoritzacio,.,
By Category (ADS-SPO),Monitorització FPC,Monitorització,.,
By Category (ADS-SPO),Monitorització Postgres,Monitorització,.,
By Category (ADS-SPO),Monitorització Qualitat de Serveis,Monitorització Qualitat de Serveis,.,
By Category (ADS-SPO),Monitorización,Monitorització,.,
By Category (ADS-SPO),MOOC,MOOC,.,
By Category (ADS-SPO),Moodle,Moodle,.,
By Category (ADS-SPO),Morfeo,,obsolet,
By Category (ADS-SPO),MSDN Academic Alliance,Distribució de Software,.,
By Category (ADS-SPO),MSF WEB,,obsolet,
By Category (ADS-SPO),MySQL,MySQL,.,
By Category (ADS-SPO),News,,obsolet,
By Category (ADS-SPO),Nginx,,només esborrar categoria,
By Category (ADS-SPO),OAUTH,OAUTH,.,
By Category (ADS-SPO),OBSOLET,,obsolet,
By Category (ADS-SPO),Openldap,OpenLDAP,.,
By Category (ADS-SPO),Oracle,Oracle,.,
By Category (ADS-SPO),PAB-EST,PAB-EST,.,
By Category (ADS-SPO),PHP,PHP,.,
By Category (ADS-SPO),Plone,Plone,.,
By Category (ADS-SPO),PostgreSQL,PostgreSQL,.,
By Category (ADS-SPO),PRISMA,PRISMA,.,
By Category (ADS-SPO),Procediments,,només esborrar categoria,
By Category (ADS-SPO),Protocol Alta Infraestructura,,obsolet,
By Category (ADS-SPO),Proxy,,obsolet,
By Category (ADS-SPO),Puppet,Puppet,.,
By Category (ADS-SPO),Quantech,,obsolet,
By Category (ADS-SPO),RADIUS,RADIUS,.,
By Category (ADS-SPO),Red Hat,Red Hat,.,
By Category (ADS-SPO),Repositori UPCXXI,Repositori UPC,.,
By Category (ADS-SPO),Repositorio de ficheros PL,,obsolet,
By Category (ADS-SPO),Revisions Mèdiques,Revisions Mèdiques,.,
By Category (ADS-SPO),RIMSKY,RIMSKY,.,
By Category (ADS-SPO),SADT,,obsolet,
By Category (ADS-SPO),SAI,SAI,.,
By Category (ADS-SPO),SAN EMC CX3-40f,SAN,.,
By Category (ADS-SPO),SAN,SAN,.,
By Category (ADS-SPO),SAP Renove,SAP,.,
By Category (ADS-SPO),SAP,SAP,.,
By Category (ADS-SPO),Seguretat,Seguretat,.,
By Category (ADS-SPO),Servei Monitoritzacio,Servei Monitoritzacio,.,
By Category (ADS-SPO),Servei NAT i VPNSSL (UPClink),UPClink,.,
By Category (ADS-SPO),Serveis de hosting,,obsolet,
By Category (ADS-SPO),Servidors de consoles,,obsolet,
By Category (ADS-SPO),Servidors,,només esborrar categoria,
By Category (ADS-SPO),SMS,SMS,.,
